"Age","Gender","Ethnicity","SatisfactionScore","PerformanceRating","Tenure","CommuteDistance","LastPromotion","DecisionToLeave"
58,"Male","African",8,5,21,11,12,1
22,"Female","Other",2,1,7,6,5,0
46,"Female","Hispanic",1,4,23,12,0,1
31,"Female","Indigenous",2,7,19,22,3,0
57,"Male","Caucasian",4,9,16,23,11,1
39,"Female","African",3,3,14,34,3,0
45,"Male","Indigenous",2,9,5,12,1,1
28,"Male","Caucasian",9,8,19,17,18,0
57,"Female","Asian",5,3,7,13,4,1
46,"Male","African",8,3,6,9,0,1
58,"Male","Asian",1,7,0,9,0,1
41,"Male","African",4,9,0,40,0,1
47,"Male","Asian",2,10,16,42,8,1
24,"Female","Indigenous",2,4,6,26,4,1
62,"Female","Other",4,4,2,5,0,0
46,"Male","African",7,1,4,48,1,1
48,"Male","Other",9,1,16,36,6,1
57,"Male","Asian",1,6,16,12,7,1
58,"Female","Hispanic",2,9,12,6,7,1
52,"Female","Other",6,10,25,27,14,0
26,"Male","Caucasian",2,1,2,9,0,1
41,"Female","Asian",5,7,23,26,17,1
55,"Female","Indigenous",1,5,9,20,5,1
49,"Male","Hispanic",8,4,21,23,13,1
61,"Female","Asian",4,10,14,36,8,1
24,"Male","African",7,8,5,42,1,1
54,"Female","Caucasian",9,1,24,31,20,1
63,"Male","Caucasian",7,2,11,8,3,1
45,"Female","African",10,4,9,47,0,1
51,"Male","Other",7,7,12,39,3,1
64,"Male","African",10,4,6,34,5,0
36,"Female","Indigenous",10,8,22,17,15,0
43,"Female","Asian",9,4,16,36,15,1
29,"Male","Hispanic",4,7,7,5,0,1
57,"Female","African",10,10,2,14,0,0
25,"Female","African",6,7,19,37,3,0
43,"Male","Other",4,2,0,13,0,1
39,"Female","Hispanic",7,5,2,49,0,1
49,"Female","African",1,4,7,34,1,1
26,"Male","Indigenous",1,4,7,21,3,1
25,"Female","African",3,4,23,25,19,0
55,"Female","Hispanic",7,2,5,13,3,1
56,"Female","Asian",5,3,5,24,0,1
45,"Male","Indigenous",3,1,2,25,1,0
44,"Male","Hispanic",10,8,18,14,9,0
47,"Male","Asian",8,6,20,30,0,0
27,"Female","Indigenous",3,7,21,49,10,1
27,"Female","Caucasian",10,1,7,31,4,0
23,"Female","Other",7,5,7,49,3,1
24,"Female","African",4,2,0,40,0,0
42,"Female","Hispanic",7,5,18,30,11,1
23,"Male","Indigenous",10,3,18,38,2,1
59,"Male","Caucasian",8,5,18,27,0,1
31,"Female","African",4,3,10,9,0,1
61,"Female","Hispanic",3,10,6,24,4,1
26,"Female","African",5,9,20,39,5,1
54,"Female","African",10,10,3,20,2,0
60,"Female","Asian",10,7,8,30,0,1
57,"Female","Caucasian",4,1,12,37,4,1
63,"Female","African",8,9,5,8,1,1
30,"Male","Hispanic",2,9,16,18,15,1
50,"Female","Hispanic",4,9,17,39,4,1
33,"Male","Indigenous",1,8,12,41,9,1
