EmployeeID,Age,Satisfaction_Score,Performance_Score,Tenure,Commute_Distance,Last_Promotion,Decision_to_Leave,Gender_Male,Ethnicity_Asian,Ethnicity_Caucasian,Ethnicity_Hispanic,Ethnicity_Indigenous,Ethnicity_Other
E1000,58,7,5,218,20,51,1,1,0,0,0,1,0
E1001,48,2,6,158,87,46,1,0,0,0,1,0,0
E1002,34,9,8,209,75,34,1,0,0,1,0,0,0
E1003,62,9,2,128,37,51,1,0,0,1,0,0,0
E1004,27,4,6,84,22,13,1,0,1,0,0,0,0
E1005,40,4,1,116,58,47,1,1,0,0,0,0,0
E1006,58,6,4,183,68,30,1,1,1,0,0,0,0
E1007,38,10,10,144,93,30,1,0,0,0,1,0,0
E1008,42,10,3,174,44,16,1,1,1,0,0,0,0
E1009,30,10,9,62,34,59,0,0,0,0,0,0,1
E1010,30,6,3,235,77,23,1,0,0,1,0,0,0
E1011,43,1,6,7,42,51,0,0,0,1,0,0,0
E1012,55,9,1,208,9,22,1,1,0,0,0,1,0
E1013,59,2,6,45,95,17,1,0,0,0,0,1,0
E1014,43,5,4,187,7,49,1,0,0,0,1,0,0
E1015,22,9,8,239,68,53,1,0,0,0,0,0,1
E1016,41,4,9,184,19,13,1,1,0,0,0,0,0
E1017,21,3,4,176,94,49,1,1,1,0,0,0,0
E1018,43,7,10,155,31,14,0,0,0,0,1,0,0
E1019,63,6,10,181,35,14,0,1,0,0,0,1,0
E1020,49,8,6,215,57,5,0,1,1,0,0,0,0
E1021,57,3,1,88,85,26,1,1,0,0,0,1,0
E1022,21,5,4,73,61,14,1,1,1,0,0,0,0
E1023,40,10,7,163,31,49,1,1,0,0,0,0,0
E1024,52,4,1,179,83,35,1,1,0,0,1,0,0
E1025,31,4,8,212,95,54,0,1,1,0,0,0,0
E1026,41,4,10,37,53,7,0,1,0,0,0,0,1
E1027,63,10,6,234,32,14,1,1,0,1,0,0,0
E1028,44,8,5,209,66,2,1,1,0,0,0,0,1
E1029,46,6,10,239,59,46,0,0,0,0,0,0,1
E1030,61,3,9,223,10,12,0,0,0,1,0,0,0
E1031,47,10,2,119,2,40,1,1,0,0,0,0,1
E1032,35,5,5,57,66,33,0,0,1,0,0,0,0
E1033,34,6,6,8,60,23,0,0,1,0,0,0,0
E1034,63,5,7,207,88,39,1,1,1,0,0,0,0
E1035,22,6,5,95,17,31,0,1,0,1,0,0,0
E1036,56,8,9,117,96,31,0,1,0,0,0,0,1
E1037,26,7,1,222,16,29,1,0,0,1,0,0,0
E1038,40,5,7,110,16,51,1,0,1,0,0,0,0
E1039,28,10,10,20,46,48,1,1,0,0,0,0,1
E1040,58,6,7,124,39,12,1,1,0,0,0,0,1
E1041,37,4,4,231,31,0,0,1,0,0,0,1,0
E1042,23,9,9,53,88,33,1,0,0,0,0,1,0
E1043,44,4,5,119,1,14,1,0,0,0,0,0,0
E1044,33,1,4,12,11,43,1,0,0,0,1,0,0
E1045,28,7,7,177,85,13,1,0,0,0,0,1,0
E1046,45,7,4,17,4,56,1,1,0,1,0,0,0
E1047,21,4,3,64,71,28,1,1,0,0,0,1,0
E1048,39,3,9,42,26,33,1,1,0,0,0,0,0
E1049,47,8,8,94,50,17,1,1,0,0,0,0,1
E1050,26,5,1,157,12,53,1,0,0,0,0,0,0
