Age,YearsAtCompany,EducationLevel,JobPerformanceRating,TrainingCompleted,MentorshipProgramParticipation,Department,HighPotential
22,8,1,5,6,1,1,1
25,1,1,5,1,1,2,1
25,3,2,6,0,1,1,1
31,5,1,10,0,0,3,1
41,14,2,4,0,0,3,1
43,11,1,7,2,0,4,0
58,5,3,1,3,1,3,1
45,7,3,3,1,1,2,1
28,1,1,1,6,0,4,0
46,2,2,8,4,0,4,1
46,8,1,8,0,0,4,1
34,7,2,2,8,0,1,1
23,6,2,5,8,1,3,1
45,6,2,10,6,0,1,1
46,8,2,9,4,1,5,1
39,12,1,1,5,1,4,1
59,4,1,4,5,0,5,1
47,12,3,5,7,0,1,0
35,7,2,7,7,1,3,1
30,9,3,2,9,0,4,1
31,9,1,4,3,0,5,0
42,14,1,4,5,1,5,1
38,13,2,3,5,1,4,1
27,3,1,5,4,0,2,0
37,11,2,5,9,0,4,1
22,2,3,5,0,1,5,1
40,13,2,10,9,0,1,1
57,1,1,6,5,1,1,1
46,9,1,9,6,0,5,1
51,12,1,4,7,0,1,0
41,8,3,7,0,0,1,1
41,13,2,6,8,0,2,0
36,8,3,4,0,1,5,1
54,13,1,4,7,1,3,1
23,1,2,8,8,1,2,1
31,5,3,1,8,0,5,1
54,12,2,10,9,1,1,1
53,12,1,8,4,1,1,1
32,14,3,5,0,1,3,1
45,9,2,1,3,0,1,0
57,1,2,6,6,0,3,0
33,5,1,4,8,1,1,1
50,14,1,7,3,0,4,0
56,13,1,8,4,0,4,1
22,14,3,1,4,1,1,1
22,6,3,4,4,1,3,1
58,14,2,3,1,1,3,1
27,8,2,1,3,0,2,0
39,3,3,8,8,0,4,1
37,5,2,1,8,0,2,1
26,13,3,8,3,0,3,1
53,10,2,3,2,1,1,1
23,8,3,1,1,1,4,1
23,6,2,3,4,1,5,1
57,1,2,7,7,1,1,1
33,5,3,1,6,1,3,1
40,10,1,9,8,1,4,1
49,5,3,4,0,1,3,1
22,1,3,4,1,1,3,1
36,3,1,7,1,0,5,0
57,6,2,7,3,1,3,1
34,6,1,7,7,1,3,1
42,4,1,5,8,0,3,1
33,1,1,3,4,0,5,0
26,1,2,6,6,1,2,1
28,2,3,5,2,1,3,1
26,10,1,3,6,0,3,0
25,10,2,1,9,0,1,0
34,3,2,10,0,1,4,1
58,2,3,2,0,0,4,1
36,1,3,6,2,0,4,1
37,2,1,10,9,1,4,1
42,13,2,6,9,1,4,1
57,7,3,9,0,1,1,1
45,13,1,5,5,0,5,0
37,4,2,10,0,1,4,1
35,5,2,1,4,0,1,1
43,4,3,7,7,1,1,1
27,7,2,2,7,1,3,1
57,5,2,2,1,1,4,1
22,3,3,4,8,0,1,0
53,4,2,1,6,1,1,1
27,7,2,4,5,0,1,1
52,13,1,2,1,0,1,0
22,4,2,4,5,0,2,1
58,14,3,2,4,0,1,0
56,4,2,5,2,0,5,1
51,13,3,8,6,1,5,1
25,9,3,7,1,0,4,1
56,2,2,5,1,0,4,1
35,4,3,6,7,0,4,0
43,14,1,7,9,0,1,0
31,12,3,1,5,1,4,1
22,4,1,5,4,0,4,1
32,2,3,10,1,1,5,1
45,6,2,4,5,0,4,0
24,4,3,8,7,1,3,1
56,7,3,1,8,0,1,0
57,12,3,1,2,0,1,0
52,5,1,9,4,1,1,1
25,9,1,4,9,1,3,1
40,6,1,7,7,1,2,1
57,8,1,6,2,1,2,1
42,11,1,8,8,0,5,1
39,11,2,4,2,1,2,1
49,14,3,3,1,0,3,0
36,2,3,9,8,1,5,1
23,14,2,2,7,0,1,1
58,14,2,4,1,1,4,1
32,11,2,9,3,1,1,1
44,9,2,4,5,1,4,1
33,3,1,6,8,1,4,1
24,1,3,2,1,0,1,0
38,1,2,3,3,1,3,1
54,5,2,7,9,0,1,0
22,3,3,4,1,1,3,1
41,12,2,3,2,1,2,1
35,14,1,6,7,0,2,0
52,2,1,4,5,1,1,1
46,12,1,6,8,1,3,1
24,3,2,2,5,1,1,1
25,3,3,10,3,1,3,1
52,4,2,2,2,1,3,1
56,5,3,6,5,0,1,1
35,11,1,10,4,1,3,1
30,13,1,9,8,0,3,1
41,8,3,10,1,1,5,1
53,6,2,4,0,1,5,1
30,14,2,3,8,1,4,1
48,2,2,3,8,1,3,1
24,11,1,5,4,0,4,1
25,4,2,8,0,0,2,1
36,13,3,9,4,1,3,1
54,2,2,9,2,1,2,1
26,1,2,6,7,0,5,0
25,2,3,6,4,0,2,0
33,5,3,4,4,0,2,0
44,11,1,8,5,1,1,1
35,11,1,7,6,1,3,1
33,1,2,1,3,1,3,1
38,13,2,9,7,0,4,1
46,11,1,6,0,1,2,1
51,3,2,6,9,0,5,0
43,13,2,4,4,0,5,0
47,2,3,9,4,0,2,1
38,14,2,10,5,0,1,1
41,4,3,10,8,0,2,1
55,2,1,8,5,1,2,1
54,5,2,5,6,1,5,1
58,8,3,8,1,0,2,1
28,6,3,2,4,1,4,1
43,7,3,4,5,0,5,1
53,10,3,6,3,1,5,1
35,3,2,9,9,1,1,1
29,14,1,10,6,1,2,1
46,6,3,6,8,1,5,1
37,13,1,9,7,1,2,1
40,11,3,8,4,0,3,1
37,3,3,4,7,1,1,1
33,3,3,6,8,0,5,1
51,14,1,10,1,0,4,1
23,2,1,7,4,1,1,1
53,4,1,6,5,1,2,1
46,9,2,4,5,1,1,1
46,4,1,3,3,1,3,1
25,1,2,4,8,0,1,0
40,8,2,10,3,1,5,1
25,13,1,2,5,0,3,0
34,4,3,7,3,1,2,1
57,14,3,10,4,0,3,1
44,9,2,4,6,0,4,0
27,3,3,8,1,1,1,1
45,5,3,8,9,0,2,1
54,4,2,6,9,0,5,1
33,2,1,3,7,1,4,1
42,13,2,2,6,0,1,0
32,7,1,8,5,1,5,1
59,11,1,6,2,0,4,0
50,11,2,1,9,0,1,0
24,6,3,4,3,1,5,1
49,11,1,8,5,0,2,1
41,9,2,2,8,0,1,0
47,12,2,1,3,1,5,1
45,5,2,9,1,0,4,1
42,4,1,2,9,0,2,1
51,7,3,8,6,0,4,1
25,6,3,8,7,0,2,1
57,4,2,7,8,1,5,1
31,8,1,1,1,1,1,1
31,9,3,6,9,1,5,1
45,9,2,6,7,0,4,0
25,11,3,7,3,1,3,1
48,4,3,6,7,1,5,1
25,14,1,4,9,1,2,1
53,8,2,4,4,0,4,0
31,9,3,9,1,1,5,1
32,6,3,4,1,1,4,1
49,8,1,10,8,0,2,1
29,3,1,4,2,1,2,1
43,8,3,4,0,1,2,1
55,13,1,7,8,0,1,1
56,9,1,5,5,0,5,0
56,1,2,3,5,0,1,1
46,13,2,6,3,0,2,0
55,8,3,2,0,1,3,1
27,5,3,9,1,1,5,1
58,9,3,10,7,0,5,1
22,5,1,9,4,0,4,1
33,5,2,6,4,0,1,0
56,11,3,9,4,0,3,1
27,1,2,4,4,0,1,1
38,5,1,1,5,0,1,0
30,11,2,7,6,0,2,0
23,9,1,4,8,1,5,1
39,1,3,2,4,1,1,1
57,1,1,8,4,0,3,1
49,5,1,9,7,1,5,1
58,8,1,4,7,0,5,0
47,13,1,8,4,0,1,1
25,4,3,7,5,0,1,0
57,8,2,8,7,1,3,1
52,8,3,10,4,0,3,1
51,3,3,7,9,1,5,1
55,12,1,10,5,1,4,1
40,14,3,7,9,1,5,1
39,3,1,8,1,1,4,1
51,2,2,9,4,1,3,1
42,8,1,6,0,0,2,0
24,12,2,7,1,0,1,1
27,14,3,4,3,1,1,1
59,1,1,8,9,1,1,1
34,8,2,3,2,1,4,1
24,6,3,8,0,0,4,1
49,10,2,9,7,1,5,1
43,8,1,3,2,0,3,1
